Dataset,Model,Accuracy,F1-Score
Original Only,SVM,0.7878787878787878,0.7816413633315041
Original Only,Random Forest,0.803030303030303,0.7841894947158106
Original Only,KNN,0.7575757575757576,0.757563350707911
Original + Duplication,SVM,0.7878787878787878,0.7873453139997257
Original + Duplication,Random Forest,0.9090909090909091,0.9074286675890954
Original + Duplication,KNN,0.7121212121212122,0.7151906841014902
Original + VAE,SVM,0.8333333333333334,0.8266699532798802
Original + VAE,Random Forest,0.8181818181818182,0.8087484433374844
Original + VAE,KNN,0.7121212121212122,0.7169647048002412
